paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,bucket,width_multiplier,ffn_hidden_dim,step,hard_rank,hard_rank_smoothed,smoothing_window,frequency_bucket_reduction
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,7000,165.375,165.375,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,7200,166.165,165.375,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,7400,167.165,166.165,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,7600,156.47500000000002,166.165,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,7800,155.60500000000002,156.47500000000002,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,8000,167.58999999999997,156.47500000000002,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,8200,163.15,163.15,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,8400,161.42000000000002,163.15,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,8600,158.81,161.42000000000002,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,8800,152.70499999999998,158.81,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,9000,152.195,152.70499999999998,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,9200,166.075,152.70499999999998,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,9400,167.93,166.075,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,9600,168.405,167.93,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,9800,153.985,167.93,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,10000,165.445,165.445,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,10200,155.15,155.15,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,10400,164.37,164.37,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,10600,157.57,157.57,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,10800,154.845,157.57,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,11000,166.195,157.57,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,11200,146.07,154.845,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,11400,156.805,156.805,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,11600,163.14,156.805,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,11800,156.83999999999997,156.83999999999997,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,768,12000,145.31,156.83999999999997,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,1,768,1,89.60499999999999,89.60499999999999,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,1,768,200,3.73,46.6675,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,1,768,400,17.515,17.515,3,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,1,768,600,52.175,17.515,3,rank0_local
