run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,num_gpus,seed,frequency_bucket_reduction,log_dir,config_path,notes
160m_muon_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_muon_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,Muon,muon,muon,Muon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/muon/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_1x,main_160m_width_sweep,160m,GPT2-160M,12,768,1,768,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/1d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_2x,main_160m_width_sweep,160m,GPT2-160M,12,768,2,1536,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/2d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_3x,main_160m_width_sweep,160m,GPT2-160M,12,768,3,2304,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/3d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_4x,main_160m_width_sweep,160m,GPT2-160M,12,768,4,3072,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/4d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_5x,main_160m_width_sweep,160m,GPT2-160M,12,768,5,3840,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/5d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_6x,main_160m_width_sweep,160m,GPT2-160M,12,768,6,4608,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/6d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_7x,main_160m_width_sweep,160m,GPT2-160M,12,768,7,5376,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/7d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
160m_normuon_8x,main_160m_width_sweep,160m,GPT2-160M,12,768,8,6144,NorMuon,normuon,normuon,NorMuon,,4,not_recorded,rank0_local,external://paper_run_logs/main_160m_width_sweep/normuon/8d/eigen_metrics_logs,,legacy paper-run logs; full raw logs are external artifacts
