run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_samples,final_steps,aggregation,frequency_bucket_reduction
160m_dion_r1_2_7x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,7,5376,hard_rank,global,post,849.875,339.05597412986947,1360.6940258701306,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_8x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,8,6144,soft_rank,global,post,2986.4811007085577,1740.1410134373475,4232.821187979768,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_8x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,8,6144,hard_rank,global,post,927.3199999999999,368.17565616318984,1486.46434383681,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_1x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,1,768,soft_rank,global,post,490.78419019104774,376.06855668878256,605.4998236933129,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_1x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,1,768,hard_rank,global,post,244.485,143.7928602417701,345.17713975822994,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_2x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,2,1536,soft_rank,global,post,858.6495616634389,655.1143643541905,1062.1847589726874,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_2x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,2,1536,hard_rank,global,post,390.26,236.18578747269518,544.3342125273048,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_3x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,3,2304,soft_rank,global,post,1127.592676696429,869.2348305318292,1385.9505228610287,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_3x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,3,2304,hard_rank,global,post,414.25,259.68176528118425,568.8182347188158,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_16_4x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,4,3072,soft_rank,global,post,1484.1835769047307,1154.799212456523,1813.5679413529383,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
