run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,rank_fraction_float,line_style,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_steps,aggregation,frequency_bucket_reduction
160m_dion_r1_2_7x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,7,5376,soft_rank,tail,post,2282.480341877372,1464.8706551801608,3100.090028574583,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_7x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,7,5376,hard_rank,tail,post,787.745,414.08913782785896,1161.400862172141,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_8x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,8,6144,soft_rank,tail,post,2535.129501183596,1565.0344928537438,3505.224509513448,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_8x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,8,6144,hard_rank,tail,post,803.88,331.5616013727412,1276.198398627259,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_1x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,1,768,soft_rank,tail,post,398.4592048881177,254.61092215412225,542.3074876221132,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_1x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,1,768,hard_rank,tail,post,188.86,94.06633023628252,283.6536697637175,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_2x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,2,1536,soft_rank,tail,post,758.1074193399651,492.0064736191943,1024.208365060736,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_2x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,2,1536,hard_rank,tail,post,310.905,137.56332565814887,484.2466743418511,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_3x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,3,2304,soft_rank,tail,post,1091.1255453974568,709.4350111438998,1472.8160796510138,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_4_3x,dion_rank_sweep_tail,160m,GPT2-160M,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,3,2304,hard_rank,tail,post,448.22,212.7201622032985,683.7198377967015,12,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
