run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,rank_fraction_float,line_style,num_gpus,seed,frequency_bucket_reduction,log_dir,notes
160m_dion_r1_8_2x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/2d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_3x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/3d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_4x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/4d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_5x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/5d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_6x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/6d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_7x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/7d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_8x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/8d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_1x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/1d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_2x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/2d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_3x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/3d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_4x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/4d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_5x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/5d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_6x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/6d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_7x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/7d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_16_8x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1/16,0.0625,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_16/8d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
