paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,bucket,step,trajectory_window,beta_hard,beta_soft,n_widths_hard,n_widths_soft,frequency_bucket_reduction
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,600,3,-0.7055352713964387,-0.6449157427407096,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,800,3,-0.3783073533796098,-0.1340454982659532,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1000,3,-0.1117885193093791,0.10296050785353683,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1200,3,0.09675491888746902,0.25654509174879353,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1400,3,0.16604188575294548,0.3173869891081302,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1600,3,0.2106647492452665,0.3204545273458506,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1800,3,0.20504111953733758,0.32282571628297774,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,2000,3,0.1882896150625968,0.3584055880094881,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,2200,3,0.1924909994108969,0.39813522599369416,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,2400,3,0.17793957686239856,0.4134494010544789,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,2600,3,0.19818115710370643,0.41137382209330664,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,2800,3,0.18036741751663066,0.4136726471361906,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,3000,3,0.1629092802283028,0.4150430969668069,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,3200,3,0.1659206109039961,0.4394236809548416,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,3400,3,0.18335221297580442,0.4399299527685556,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,3600,3,0.1816746343439515,0.4530911306340592,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,3800,3,0.20826491746600428,0.4500579102113293,8,8,rank0_local
